shape_id,lat,lon,shape_pt_sequence,shape_dist_traveled
S2_AIR_9_245,32.73191833,-117.19717407,20027,4.279000
S2_AIR_9_245,32.73209763,-117.19792938,20028,4.325000
S2_AIR_9_245,32.73212814,-117.19809723,20029,4.335000
S2_AIR_9_245,32.73212814,-117.19811249,20030,4.335000
S2_AIR_9_245,32.73212814,-117.19811249,30001,4.335000
S2_AIR_9_245,32.73213577,-117.19826508,30002,4.344000
S2_AIR_9_245,32.73209763,-117.19860840,30003,4.365000
S2_AIR_9_245,32.73204041,-117.19882965,30004,4.378000
S2_AIR_9_245,32.73186874,-117.19944763,30005,4.416000
S2_AIR_9_245,32.73144150,-117.20133972,30006,4.530000
S2_AIR_9_245,32.73141098,-117.20145416,30007,4.537000
S2_AIR_9_245,32.73129654,-117.20194244,30008,4.566000
S2_AIR_9_245,32.73132324,-117.20336914,30009,4.650000
S2_AIR_9_245,32.73132324,-117.20336914,40001,4.650000
S2_AIR_9_245,32.73133469,-117.20395660,40002,4.684000
S2_AIR_9_245,32.73128510,-117.20413208,40003,4.695000
S2_AIR_9_245,32.73121643,-117.20427704,40004,4.704000
S2_AIR_9_245,32.73114777,-117.20434570,40005,4.710000
S2_AIR_9_245,32.73094940,-117.20445251,40006,4.726000
S2_AIR_9_245,32.73077011,-117.20449829,40007,4.738000
S2_AIR_9_245,32.73056793,-117.20450592,40008,4.752000
S2_AIR_9_245,32.73035431,-117.20444489,40009,4.767000
S2_AIR_9_245,32.73014832,-117.20439148,40010,4.782000
S2_AIR_9_245,32.72993469,-117.20428467,40011,4.798000
S2_AIR_9_245,32.72975159,-117.20411682,40012,4.814000
S2_AIR_9_245,32.72966385,-117.20400238,40013,4.823000
S2_AIR_9_245,32.72957993,-117.20366669,40014,4.843000
S2_AIR_9_245,32.72954941,-117.20330811,40015,4.864000
S2_AIR_9_245,32.72954178,-117.20281982,40016,4.893000
S2_AIR_9_245,32.72954178,-117.20246124,40017,4.913000
S2_AIR_9_245,32.72954559,-117.20164490,40018,4.961000
S2_AIR_9_245,32.72954941,-117.20057678,40019,5.023000
S2_AIR_9_245,32.72965240,-117.19969940,40020,5.075000
S2_AIR_9_245,32.72964859,-117.19879150,40021,5.128000
S2_AIR_9_245,32.72964859,-117.19866180,40022,5.135000
S2_AIR_9_245,32.72961426,-117.19754028,40023,5.200000
S2_AIR_9_245,32.72964859,-117.19635010,40024,5.270000
S2_AIR_9_245,32.72959518,-117.19609070,40025,5.286000
S2_AIR_9_245,32.72946167,-117.19572449,40026,5.309000
S2_AIR_9_245,32.72939682,-117.19558716,40027,5.318000
S2_AIR_9_245,32.72938156,-117.19514465,40028,5.344000
S2_AIR_9_245,32.72937775,-117.19497681,40029,5.354000
S2_AIR_9_245,32.72933578,-117.19416046,40030,5.401000
S2_AIR_9_245,32.72927475,-117.19299316,40031,5.469000
S2_AIR_9_245,32.72925949,-117.19277954,40032,5.482000
S2_AIR_9_245,32.72918701,-117.19145966,40033,5.559000
S2_AIR_9_245,32.72916794,-117.19108582,40034,5.580000
S2_AIR_9_245,32.72916412,-117.19097900,40035,5.587000
S2_AIR_9_245,32.72900391,-117.18792725,40036,5.765000
S2_AIR_9_245,32.72892380,-117.18623352,40037,5.864000
S2_AIR_9_245,32.72884750,-117.18550873,40038,5.906000
S2_AIR_9_245,32.72877121,-117.18505096,40039,5.933000
S2_AIR_9_245,32.72859955,-117.18434906,40040,5.976000
